customer_id,name,age,gender,location
C0001,William Hart,56,Male,"Banjara Hills, Hyderabad, Telangana"
C0002,Nicholas Davis,57,Male,"Chuttugunta, Guntur, Andhra Pradesh"
C0003,Sara Jones,61,Other,"Krishna Lanka, Vijayawada, Andhra Pradesh"
C0004,Brandi Le,29,Male,"Chikkadpally, Hyderabad, Telangana"
C0005,Erin Perez,31,Female,"Abids, Hyderabad, Telangana"
C0006,Christine Holmes,47,Male,"Gokavaram, Rajahmundry, Andhra Pradesh"
C0007,Paul Duncan Jr.,54,Female,"Kondapur, Hyderabad, Telangana"
C0008,Rachel Boyer,52,Male,"Madhuranagar, Vijayawada, Andhra Pradesh"
C0009,Eric Love,65,Female,"Mangalam, Tirupati, Andhra Pradesh"
C0010,Amy Sanders,23,Other,"Chikkadpally, Hyderabad, Telangana"
C0011,Tammy Mitchell,28,Other,"One Town, Vijayawada, Andhra Pradesh"
C0012,Sue Martin,21,Female,"Rajahmundry Urban, Rajahmundry, Andhra Pradesh"
C0013,Erica Henderson,60,Other,"Devi Chowk, Rajahmundry, Andhra Pradesh"
C0014,Richard Marshall,66,Female,"Brodipet, Guntur, Andhra Pradesh"
C0015,Erik Russell,23,Female,"Ramesh Hospital Road, Vijayawada, Andhra Pradesh"
C0016,Deborah Massey,18,Female,"Kothapeta, Guntur, Andhra Pradesh"
C0017,Timothy Baker,27,Male,"Poranki, Vijayawada, Andhra Pradesh"
C0018,Emily Williams,31,Male,"Nallapadu, Guntur, Andhra Pradesh"
C0019,Angela Newman,20,Female,"Ameerpet, Hyderabad, Telangana"
C0020,Victoria Rocha,66,Other,"Moosapet, Hyderabad, Telangana"
C0021,Alexis Jones,25,Female,"Srinivasarao Colony, Guntur, Andhra Pradesh"
C0022,Raven Flores,50,Female,"Arundelpet, Guntur, Andhra Pradesh"
C0023,Rachael Juarez,25,Male,"Kotagummam, Rajahmundry, Andhra Pradesh"
C0024,Sarah Hernandez,55,Male,"Ameerpet, Hyderabad, Telangana"
